scenario_type,rental_period,rental_p25_usd_gpu_hour,rental_p75_usd_gpu_hour,hardware_condition,hardware_asking_snapshot_date,hardware_ask_per_gpu,assumed_other_installed_capex_per_gpu,assumed_paid_occupancy,assumed_monthly_cash_opex,hours_per_month,gross_revenue_payback_fast_months,gross_revenue_payback_slow_months,operating_payback_fast_months,operating_payback_slow_months,rental_source,hardware_source
hypothetical_fixed_cost_not_historical_cohort,Jul 2025,1.7,2.0,new,2026-08-31,40554.75,5000,0.9,400,730.0,34.6687595129376,40.78677589757364,49.84108315098468,63.54407867206025,https://gpu-index.semianalysis.com/,https://beta.hashrateindex.com/blog/announcement-introducing-the-ai-hardware-price-index/
hypothetical_fixed_cost_not_historical_cohort,Aug 2025,1.5,2.0,refurbished,2026-08-31,30750.0,5000,0.9,400,730.0,27.207001522070016,36.276002029426685,39.11378555798687,61.05892399658411,https://gpu-index.semianalysis.com/,https://beta.hashrateindex.com/blog/announcement-introducing-the-ai-hardware-price-index/
hypothetical_fixed_cost_not_historical_cohort,Aug 2025,1.5,2.0,new,2026-08-31,40554.75,5000,0.9,400,730.0,34.6687595129376,46.225012683916795,49.84108315098468,77.80486763450043,https://gpu-index.semianalysis.com/,https://beta.hashrateindex.com/blog/announcement-introducing-the-ai-hardware-price-index/
hypothetical_fixed_cost_not_historical_cohort,Sep 2025,1.5,2.0,refurbished,2026-08-31,30750.0,5000,0.9,400,730.0,27.207001522070016,36.276002029426685,39.11378555798687,61.05892399658411,https://gpu-index.semianalysis.com/,https://beta.hashrateindex.com/blog/announcement-introducing-the-ai-hardware-price-index/
hypothetical_fixed_cost_not_historical_cohort,Sep 2025,1.5,2.0,new,2026-08-31,40554.75,5000,0.9,400,730.0,34.6687595129376,46.225012683916795,49.84108315098468,77.80486763450043,https://gpu-index.semianalysis.com/,https://beta.hashrateindex.com/blog/announcement-introducing-the-ai-hardware-price-index/
hypothetical_fixed_cost_not_historical_cohort,Oct 2025,1.45,1.95,refurbished,2026-08-31,30750.0,5000,0.9,400,730.0,27.904616945712835,37.526898651131056,40.57197979912614,64.68831991314576,https://gpu-index.semianalysis.com/,https://beta.hashrateindex.com/blog/announcement-introducing-the-ai-hardware-price-index/
hypothetical_fixed_cost_not_historical_cohort,Oct 2025,1.45,1.95,new,2026-08-31,40554.75,5000,0.9,400,730.0,35.55770206455138,47.81897863853462,51.69919990920955,82.42965710666788,https://gpu-index.semianalysis.com/,https://beta.hashrateindex.com/blog/announcement-introducing-the-ai-hardware-price-index/
hypothetical_fixed_cost_not_historical_cohort,Nov 2025,1.45,2.0,refurbished,2026-08-31,30750.0,5000,0.9,400,730.0,27.207001522070016,37.526898651131056,39.11378555798687,64.68831991314576,https://gpu-index.semianalysis.com/,https://beta.hashrateindex.com/blog/announcement-introducing-the-ai-hardware-price-index/
hypothetical_fixed_cost_not_historical_cohort,Nov 2025,1.45,2.0,new,2026-08-31,40554.75,5000,0.9,400,730.0,34.6687595129376,47.81897863853462,49.84108315098468,82.42965710666788,https://gpu-index.semianalysis.com/,https://beta.hashrateindex.com/blog/announcement-introducing-the-ai-hardware-price-index/
hypothetical_fixed_cost_not_historical_cohort,Dec 2025,1.45,2.0,refurbished,2026-08-31,30750.0,5000,0.9,400,730.0,27.207001522070016,37.526898651131056,39.11378555798687,64.68831991314576,https://gpu-index.semianalysis.com/,https://beta.hashrateindex.com/blog/announcement-introducing-the-ai-hardware-price-index/
hypothetical_fixed_cost_not_historical_cohort,Dec 2025,1.45,2.0,new,2026-08-31,40554.75,5000,0.9,400,730.0,34.6687595129376,47.81897863853462,49.84108315098468,82.42965710666788,https://gpu-index.semianalysis.com/,https://beta.hashrateindex.com/blog/announcement-introducing-the-ai-hardware-price-index/
hypothetical_fixed_cost_not_historical_cohort,Jan 2026,1.5,2.05,refurbished,2026-08-31,30750.0,5000,0.9,400,730.0,26.5434161190927,36.276002029426685,37.75677245603845,61.05892399658411,https://gpu-index.semianalysis.com/,https://beta.hashrateindex.com/blog/announcement-introducing-the-ai-hardware-price-index/
hypothetical_fixed_cost_not_historical_cohort,Jan 2026,1.5,2.05,new,2026-08-31,40554.75,5000,0.9,400,730.0,33.823180012622046,46.225012683916795,48.11189734382426,77.80486763450043,https://gpu-index.semianalysis.com/,https://beta.hashrateindex.com/blog/announcement-introducing-the-ai-hardware-price-index/
hypothetical_fixed_cost_not_historical_cohort,Feb 2026,1.8,2.35,refurbished,2026-08-31,30750.0,5000,0.9,400,730.0,23.154894912400014,30.230001691188903,31.251365881375932,45.68106312292358,https://gpu-index.semianalysis.com/,https://beta.hashrateindex.com/blog/announcement-introducing-the-ai-hardware-price-index/
hypothetical_fixed_cost_not_historical_cohort,Feb 2026,1.8,2.35,new,2026-08-31,40554.75,5000,0.9,400,730.0,29.505327245053273,38.52084390326399,39.82232615061847,58.2094939943777,https://gpu-index.semianalysis.com/,https://beta.hashrateindex.com/blog/announcement-introducing-the-ai-hardware-price-index/
hypothetical_fixed_cost_not_historical_cohort,Mar 2026,2.0,2.7,refurbished,2026-08-31,30750.0,5000,0.9,400,730.0,20.1533344607926,27.207001522070016,26.02081665332265,39.11378555798687,https://gpu-index.semianalysis.com/,https://beta.hashrateindex.com/blog/announcement-introducing-the-ai-hardware-price-index/
hypothetical_fixed_cost_not_historical_cohort,Mar 2026,2.0,2.7,new,2026-08-31,40554.75,5000,0.9,400,730.0,25.680562602175993,34.6687595129376,33.15725307518741,49.84108315098468,https://gpu-index.semianalysis.com/,https://beta.hashrateindex.com/blog/announcement-introducing-the-ai-hardware-price-index/
hypothetical_fixed_cost_not_historical_cohort,Apr 2026,2.1,2.7,refurbished,2026-08-31,30750.0,5000,0.9,400,730.0,20.1533344607926,25.91143002101906,26.02081665332265,36.490762478309684,https://gpu-index.semianalysis.com/,https://beta.hashrateindex.com/blog/announcement-introducing-the-ai-hardware-price-index/
hypothetical_fixed_cost_not_historical_cohort,Apr 2026,2.1,2.7,new,2026-08-31,40554.75,5000,0.9,400,730.0,25.680562602175993,33.017866202797705,33.15725307518741,46.49867306318261,https://gpu-index.semianalysis.com/,https://beta.hashrateindex.com/blog/announcement-introducing-the-ai-hardware-price-index/
